Product ID,Phone Name,Rating,Review
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,"Samsung Galaxy s series great features at attractive price like always.pros.1. Killer Look with handy weight balance2. Super Smooth scrolling experience in display3. Fast Fingerprint sensor4. Audio quality super.5. Battery hold almost for a day even in heavy use not gaming.6. gaming experience very smooth without any lag.7. Phone has Reverse Charging Features to charge other gadgets wirelessly 8. camera... that is the best part of s series , awesome like always .. 9. 5g connectivity..."
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,Camera and display quality is awesomeThere is no comparison in this segment.
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,From iphone 12 mini to this Best phone
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,Portrait mode is excellent.Night mode performance is very good.pictures are clear and sharp.Charging speed could have been better but yes battery is optimised very well so easily lasts for a day.
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,"Amazing Product, Light Weight, Best Camera, Handy, Compact Premium Smart Phone."
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,I like the product 🫶🏻
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,Amazing camera and Good performance..best choice
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,Superb phone....
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,"This is the best Android device available to those who don't like big phones but want everything that a big phone can do.Everything is super smooth here.Great camera quality and great video recording capabilities thanks to super stabilised video.Battery is great too if you don't Play too much heavy games then it will last whole day.Display is the best in the segment super bright and punchy, colours are just awesome ofcourse it is a Samsung display.Man the processor.... What a great ..."
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,4,Nice phone with best camera. Face id recognization average..
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,4,Nice phone with best camera. Face id recognization average..
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,"Worth the wait, upgraded from Pixel 4a."
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,Camera quality is like dslr. Compact phone with powerful features. Battery is also good which last a entire day. Overall happy to choose this against iPhone 14
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,Upgraded from iPhone 12 mini to s23. Fulfilling my need very nicely. Good camera even  better than iPhone 12 mini. Better battery performance.   I am not a gamer so don't know about gaming experience.
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,This time Samsung does very well. Currently Best Premium Smartphone in market.
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,"Amazing photos, elegant design"
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,Finally received after 20 days in pre-order sale. Mobile is great in every aspect. Camera is perfect.
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,"Great phone, lovely weight balance. The in hand feel is amazing it's so lite that I barely feel it in my pocket. The images from the camera are decent too in every lighting condition. I have attached some samples with this review. I'm very satisfied with the phone. I do get around 5-6 hour of SOT which is pretty good for a phone of this size. The screen is bright and vibrant which is expected from a Samsung. I would definitely recommend if you are looking for a tiny and complete phone with al..."
MOBGNPGZVX4PCTTF,Samsung Galaxy S23,5,"Amazing camera😍😍, display, performance and design. The only problem is the battery but i think it should be fine for normal users🤩🤩"
